ts,symbol,type,total,direction,factors,tech,whale,oi,stable_d,cluster,cvd,vol,fg,liq,ls,stw,fr,mtf,contra,rsi,rsivol,oi_pct,stable_pct,price,cvd_veto,cooldown_loss,hl_oi,hl_fr,hl_whale,vp,vp_pos,ff,ff_detail,ob,ob_pct
2026-04-22 04:31:08,OPUSDT,W,11,LONG,6,7,0,1,0,0,2,-1,-1,1,1,0,-1,3,2,67.3,2.7,0.7,9.94,0.1262,,,0,-1,0,0,inside_va,0,fan_down pivot=0.0 dist=15.7%,0,-1.0
2026-04-22 04:31:26,XLMUSDT,W,1,LONG,4,1,0,0,0,0,1,-1,-1,0,1,0,0,2,-1,76.7,61.2,0.14,9.94,0.1806,,,0,-1,0,-1,vah_resist,0,fan_up pivot=0.0 dist=22.6%,0,9.9
2026-04-22 04:31:46,TRXUSDT,W,-5,SHORT,5,-2,0,0,0,0,-2,-1,-1,0,1,0,0,1,-1,60.6,82.5,0.02,9.94,0.332,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=2.5%,0,-10.6
2026-04-22 04:31:57,BGBUSDT,W,2,LONG,3,3,0,0,0,1,0,-1,-1,0,1,0,0,-1,0,57.8,37.1,0.0,9.94,1.8939,,,0,0,0,0,error,0,fan_down pivot=4.0 dist=3.0%,0,7.4
2026-04-22 04:38:33,ETHUSDT,T,5,LONG,5,7,0,0,0,1,0,-1,-1,-1,1,0,0,1,1,76.1,10.5,0.0,9.93,2360.0,,,0,-1,0,0,inside_va,1,line=78.6%@2348.97 support,-2,-52.7
2026-04-22 04:38:55,TONUSDT,T,3,LONG,4,1,0,0,0,0,0,-1,-1,1,1,0,0,3,-1,78.4,30.4,-0.07,9.93,1.3757,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.5%,0,1.4
2026-04-22 04:39:12,TRBUSDT,W,3,LONG,4,3,0,0,0,0,-2,0,-1,0,1,0,0,2,2,62.0,0.0,0.03,9.93,18.559,,,0,-1,0,1,poc_support,0,fan_up pivot=12.0 dist=2.6%,0,-10.4
2026-04-22 04:39:45,SOLUSDT,W,4,LONG,3,6,0,0,0,0,1,-1,-1,-1,1,0,0,0,0,73.2,12.2,0.07,9.93,87.18,,,0,-1,0,0,error,0,fan_down pivot=130.0 dist=193.4%,0,-15.9
2026-04-22 04:40:02,XRPUSDT,W,6,LONG,4,5,0,0,0,1,0,0,-1,1,1,0,0,0,0,71.3,12.9,0.1,9.93,1.4462,,,0,-1,0,0,error,0,fan_up pivot=1.0 dist=34.4%,0,19.0
2026-04-22 04:40:16,LUNCUSDT,W,3,LONG,2,5,0,0,0,0,0,-1,-1,0,0,0,0,0,0,94.9,29.1,0.0,9.93,0.0,,,0,0,0,0,error,-1,line=23.6%@0.0 resist,1,24.5
2026-04-22 04:40:33,LINKUSDT,W,10,LONG,5,5,0,0,0,1,2,0,-1,0,1,0,0,3,0,75.3,20.9,0.1,9.93,9.51,,,0,-1,0,0,inside_va,0,fan_down pivot=14.0 dist=34.3%,0,-8.2
2026-04-22 04:40:50,LTCUSDT,W,7,LONG,3,5,0,0,0,0,0,0,-1,0,1,0,0,3,0,73.7,14.4,0.03,9.93,55.92,,,0,-1,0,0,inside_va,0,fan_down pivot=85.0 dist=6.1%,0,1.6
2026-04-22 04:41:05,OPUSDT,W,11,LONG,6,6,0,1,0,0,2,0,-1,1,1,0,-1,3,2,68.6,3.1,0.52,9.93,0.1269,,,0,-1,0,0,inside_va,0,fan_down pivot=0.0 dist=15.3%,0,-9.1
2026-04-22 04:41:22,XLMUSDT,W,4,LONG,5,3,0,0,0,1,1,-1,-1,0,1,0,0,2,-1,76.8,61.3,0.15,9.93,0.1807,,,0,-1,0,-1,vah_resist,0,fan_up pivot=0.0 dist=22.5%,0,12.2
2026-04-22 04:41:42,TRXUSDT,W,-3,SHORT,4,-2,0,0,0,0,-2,0,-1,1,1,0,0,1,-1,60.4,82.5,0.02,9.93,0.332,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=2.5%,0,-0.3
2026-04-22 04:41:53,BGBUSDT,W,1,LONG,2,3,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,58.3,37.1,0.0,9.93,1.8946,,,0,0,0,0,error,0,fan_down pivot=4.0 dist=3.0%,1,39.0
2026-04-22 04:55:59,ETHUSDT,T,8,LONG,5,7,0,0,0,1,0,0,-1,1,1,0,0,0,1,76.6,10.7,0.06,9.93,2361.33,,,0,-1,0,0,error,1,line=78.6%@2339.89 support,-1,-25.5
2026-04-22 04:56:21,TONUSDT,T,3,LONG,4,1,0,0,0,-1,0,0,-1,1,1,0,0,3,-1,78.2,30.5,-0.08,9.93,1.3743,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.4%,0,6.7
2026-04-22 04:56:38,TRBUSDT,W,2,LONG,4,3,0,0,0,-1,-2,0,-1,0,1,0,0,2,2,62.6,0.0,0.16,9.93,18.6,,,0,-1,0,1,poc_support,0,fan_up pivot=12.0 dist=2.4%,0,-10.8
2026-04-22 04:57:02,SOLUSDT,W,6,LONG,3,6,0,0,0,0,2,0,-1,-1,1,0,0,0,0,71.3,12.3,-0.12,9.93,86.96,,,0,-1,0,0,error,0,fan_down pivot=130.0 dist=192.5%,0,-5.1
2026-04-22 04:57:25,XRPUSDT,W,6,LONG,4,6,0,0,0,-1,0,0,-1,1,1,0,0,2,0,70.9,13.0,0.13,9.93,1.4433,,,0,-1,0,-1,poc_resist,0,fan_down pivot=2.0 dist=5.5%,0,2.9
2026-04-22 04:57:40,LUNCUSDT,W,1,LONG,2,2,0,0,0,0,1,0,-1,0,0,0,0,0,-1,95.1,30.3,0.0,9.93,0.0,,,0,0,0,0,error,-1,line=23.6%@0.0 resist,0,2.5
2026-04-22 04:57:56,LINKUSDT,W,7,LONG,3,5,0,0,0,0,0,0,-1,0,1,0,0,3,0,72.6,20.9,0.06,9.93,9.472,,,0,-1,0,0,inside_va,0,fan_down pivot=14.0 dist=33.9%,0,4.5
2026-04-22 04:58:12,LTCUSDT,W,9,LONG,5,5,0,0,0,1,2,0,-1,0,1,0,0,3,0,73.6,14.9,0.12,9.93,55.9,,,0,-1,0,-1,poc_resist,0,fan_down pivot=85.0 dist=6.1%,0,2.1
2026-04-22 04:58:27,OPUSDT,W,9,LONG,5,6,0,1,0,0,0,0,-1,1,1,0,-1,3,2,68.0,3.3,0.62,9.93,0.1266,,,0,-1,0,0,inside_va,0,fan_down pivot=0.0 dist=15.5%,0,14.1
2026-04-22 04:58:44,XLMUSDT,W,2,LONG,4,1,0,0,0,0,1,0,-1,-1,1,0,0,2,-1,76.1,61.3,0.09,9.93,0.1799,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=22.8%,0,7.4
2026-04-22 04:59:03,TRXUSDT,W,-4,SHORT,5,-2,0,0,0,-1,-2,0,-1,1,1,0,0,1,-1,59.0,82.5,-0.01,9.93,0.3316,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=2.4%,0,7.3
2026-04-22 04:59:14,BGBUSDT,W,1,LONG,2,3,0,0,0,0,0,-1,-1,0,1,0,0,-1,0,58.2,37.1,0.0,9.93,1.8945,,,0,0,0,0,error,0,fan_down pivot=4.0 dist=3.0%,0,10.0
2026-04-22 06:47:26,BTCUSDT,T,1,LONG,4,3,0,0,0,-1,0,0,-1,-1,-1,0,0,1,-1,75.5,37.2,0.12,9.88,77935.3,,,0,1,0,1,above_vah,0,fan_up pivot=59800.0 dist=4.7%,-1,-29.5
2026-04-22 06:49:37,ETHUSDT,T,1,LONG,3,6,0,0,0,0,-2,0,-1,-1,1,0,0,1,0,80.2,19.0,0.13,9.88,2390.67,CVD_BEAR(-2),,0,-1,0,-1,vah_resist,0,fan_up pivot=1736.0 dist=1.8%,-1,-23.8
2026-04-22 06:49:58,TONUSDT,T,6,LONG,6,1,0,0,0,1,2,-1,-1,1,1,0,0,3,-1,78.1,31.1,-0.01,9.88,1.3742,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.4%,0,2.3
2026-04-22 06:50:17,TRBUSDT,W,9,LONG,4,8,0,0,0,-1,1,0,-1,0,1,0,0,3,2,65.6,0.7,-0.28,9.88,18.831,,,0,-1,0,0,inside_va,-1,line=50.0%@19.05 resist,0,0.9
2026-04-22 06:50:51,SOLUSDT,W,11,LONG,6,6,0,-1,0,1,2,0,-1,1,1,0,0,3,0,75.5,17.6,-0.87,9.88,87.87,,,0,-1,0,0,inside_va,0,fan_down pivot=149.0 dist=26.6%,0,-2.7
2026-04-22 06:51:18,XRPUSDT,W,7,LONG,4,5,0,0,0,0,2,0,-1,-1,1,0,0,3,0,73.5,16.2,0.06,9.88,1.455,,,0,-1,0,-1,vah_resist,0,fan_down pivot=2.0 dist=6.3%,0,-9.5
2026-04-22 06:51:31,LUNCUSDT,W,1,LONG,2,2,0,0,0,0,1,0,-1,0,0,0,0,0,-1,95.2,32.8,0.0,9.88,0.0,,,0,0,0,0,error,-1,line=23.6%@0.0 resist,0,15.0
2026-04-22 06:51:50,LINKUSDT,W,9,LONG,4,7,0,0,0,0,1,0,-1,0,1,0,0,2,0,75.0,23.3,-0.45,9.88,9.501,,,0,-1,0,0,inside_va,0,fan_down pivot=14.0 dist=34.3%,0,3.9
2026-04-22 06:52:07,LTCUSDT,W,7,LONG,4,5,0,0,0,0,2,0,-1,-1,1,0,0,2,0,75.5,20.2,0.08,9.88,56.22,,,0,-1,0,0,inside_va,0,fan_down pivot=85.0 dist=6.7%,0,7.1
2026-04-22 06:52:22,OPUSDT,W,9,LONG,5,6,0,0,0,0,2,-1,-1,0,1,0,-1,3,2,69.4,7.4,0.0,9.88,0.1274,,,0,-1,0,0,inside_va,0,fan_down pivot=0.0 dist=14.9%,1,25.0
2026-04-22 06:52:40,XLMUSDT,W,1,LONG,4,1,0,0,0,0,2,-1,-1,-1,1,0,0,2,-1,76.8,62.2,-0.44,9.88,0.1807,,,0,-1,0,-1,vah_resist,0,fan_up pivot=0.0 dist=22.5%,0,-9.1
2026-04-22 06:52:58,TRXUSDT,W,0,NEUTRAL,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,-1,64.7,83.0,0.05,9.88,0.3335,,,0,-1,0,-1,vah_resist,0,fan_up pivot=0.0 dist=3.0%,0,11.7
2026-04-22 06:53:09,BGBUSDT,W,3,LONG,3,3,0,0,0,-1,0,0,-1,0,-1,0,0,2,0,63.1,38.8,0.0,9.88,1.9044,,,0,0,0,0,error,0,fan_down pivot=4.0 dist=2.5%,1,34.5
2026-04-22 08:54:11,BTCUSDT,T,3,LONG,5,2,0,0,0,0,2,0,-1,1,-1,0,0,0,-1,73.1,40.1,0.28,9.88,78031.4,,,0,1,0,1,above_vah,0,fan_up pivot=59800.0 dist=4.8%,-2,-40.1
2026-04-22 08:55:26,ETHUSDT,T,-1,SHORT,8,5,0,0,0,-1,-1,0,-1,-1,1,0,-1,1,0,77.2,22.6,0.33,9.88,2388.16,,,0,-1,0,-1,vah_resist,0,fan_up pivot=1736.0 dist=1.7%,-1,-36.6
2026-04-22 08:55:48,TONUSDT,T,4,LONG,4,0,0,0,0,1,0,0,-1,1,1,0,0,3,-1,76.2,32.6,-0.14,9.88,1.3774,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.6%,0,18.4
2026-04-22 08:56:05,TRBUSDT,W,10,LONG,5,7,0,0,0,1,1,0,-1,0,1,0,0,3,2,64.5,1.5,-0.2,9.88,18.955,,,0,-1,0,0,inside_va,-1,line=50.0%@19.05 resist,0,-4.8
2026-04-22 08:56:34,SOLUSDT,W,6,LONG,3,5,0,0,0,0,0,0,-1,-1,1,0,-1,3,0,71.3,23.6,-0.07,9.88,87.91,,,0,0,0,0,inside_va,0,fan_down pivot=149.0 dist=26.6%,0,-8.6
2026-04-22 08:56:54,XRPUSDT,W,3,LONG,2,7,0,0,0,0,-2,0,-1,-1,1,0,0,0,1,68.4,21.5,0.08,9.88,1.4523,,,0,-1,0,0,error,0,fan_up pivot=1.0 dist=34.1%,0,-2.7
2026-04-22 08:57:08,LUNCUSDT,W,1,LONG,3,3,0,0,0,-1,-1,1,-1,0,0,0,0,0,-1,93.7,37.3,0.0,9.88,0.0,,,0,0,0,0,error,-1,line=23.6%@0.0 resist,1,28.9
